2022-04-18 02:42:34,960 Epoch 1 | Batch 10/600 | loss 3.287873 | avg_loss 3.349580
2022-04-18 02:42:36,636 Epoch 1 | Batch 20/600 | loss 3.289488 | avg_loss 3.358187
2022-04-18 02:42:37,944 Epoch 1 | Batch 30/600 | loss 3.440907 | avg_loss 3.354611
2022-04-18 02:42:39,253 Epoch 1 | Batch 40/600 | loss 3.152094 | avg_loss 3.356722
2022-04-18 02:42:40,537 Epoch 1 | Batch 50/600 | loss 3.278578 | avg_loss 3.338807
2022-04-18 02:42:41,545 Epoch 1 | Batch 60/600 | loss 3.357254 | avg_loss 3.329058
2022-04-18 02:42:42,650 Epoch 1 | Batch 70/600 | loss 3.513594 | avg_loss 3.325950
2022-04-18 02:42:44,142 Epoch 1 | Batch 80/600 | loss 3.411562 | avg_loss 3.326439
2022-04-18 02:42:45,657 Epoch 1 | Batch 90/600 | loss 3.432461 | avg_loss 3.330477
2022-04-18 02:42:47,447 Epoch 1 | Batch 100/600 | loss 3.404402 | avg_loss 3.325231
2022-04-18 02:42:49,079 Epoch 1 | Batch 110/600 | loss 3.191494 | avg_loss 3.322191
2022-04-18 02:42:49,260 Epoch 1 | Batch 120/600 | loss 3.435897 | avg_loss 3.319939
2022-04-18 02:42:50,548 Epoch 1 | Batch 130/600 | loss 3.073139 | avg_loss 3.311836
2022-04-18 02:42:51,971 Epoch 1 | Batch 140/600 | loss 3.134068 | avg_loss 3.307799
2022-04-18 02:42:52,748 Epoch 1 | Batch 150/600 | loss 3.381318 | avg_loss 3.305485
2022-04-18 02:42:54,250 Epoch 1 | Batch 160/600 | loss 3.410610 | avg_loss 3.303916
2022-04-18 02:42:55,756 Epoch 1 | Batch 170/600 | loss 3.180464 | avg_loss 3.299288
2022-04-18 02:42:57,036 Epoch 1 | Batch 180/600 | loss 3.162837 | avg_loss 3.297522
2022-04-18 02:42:58,549 Epoch 1 | Batch 190/600 | loss 3.477098 | avg_loss 3.298263
2022-04-18 02:42:59,752 Epoch 1 | Batch 200/600 | loss 3.230294 | avg_loss 3.293670
2022-04-18 02:43:00,247 Epoch 1 | Batch 210/600 | loss 3.303775 | avg_loss 3.291152
2022-04-18 02:43:01,363 Epoch 1 | Batch 220/600 | loss 3.206060 | avg_loss 3.288586
2022-04-18 02:43:02,948 Epoch 1 | Batch 230/600 | loss 3.458483 | avg_loss 3.284387
2022-04-18 02:43:04,158 Epoch 1 | Batch 240/600 | loss 3.034364 | avg_loss 3.280921
2022-04-18 02:43:05,949 Epoch 1 | Batch 250/600 | loss 3.270942 | avg_loss 3.278243
2022-04-18 02:43:06,336 Epoch 1 | Batch 260/600 | loss 3.002194 | avg_loss 3.276043
2022-04-18 02:43:07,666 Epoch 1 | Batch 270/600 | loss 3.510407 | avg_loss 3.273890
2022-04-18 02:43:09,355 Epoch 1 | Batch 280/600 | loss 3.125367 | avg_loss 3.269495
2022-04-18 02:43:10,644 Epoch 1 | Batch 290/600 | loss 3.130609 | avg_loss 3.266415
2022-04-18 02:43:12,064 Epoch 1 | Batch 300/600 | loss 3.107993 | avg_loss 3.260601
2022-04-18 02:43:13,256 Epoch 1 | Batch 310/600 | loss 2.941887 | avg_loss 3.254929
2022-04-18 02:43:13,750 Epoch 1 | Batch 320/600 | loss 3.109214 | avg_loss 3.253134
2022-04-18 02:43:15,165 Epoch 1 | Batch 330/600 | loss 2.973300 | avg_loss 3.250253
2022-04-18 02:43:16,567 Epoch 1 | Batch 340/600 | loss 3.279749 | avg_loss 3.248600
2022-04-18 02:43:17,745 Epoch 1 | Batch 350/600 | loss 3.584326 | avg_loss 3.249821
2022-04-18 02:43:18,160 Epoch 1 | Batch 360/600 | loss 3.162265 | avg_loss 3.247997
2022-04-18 02:43:19,463 Epoch 1 | Batch 370/600 | loss 3.327432 | avg_loss 3.245872
2022-04-18 02:43:20,762 Epoch 1 | Batch 380/600 | loss 3.188000 | avg_loss 3.245670
2022-04-18 02:43:21,971 Epoch 1 | Batch 390/600 | loss 3.131569 | avg_loss 3.241992
2022-04-18 02:43:23,361 Epoch 1 | Batch 400/600 | loss 3.042142 | avg_loss 3.240323
2022-04-18 02:43:24,649 Epoch 1 | Batch 410/600 | loss 3.287601 | avg_loss 3.238899
2022-04-18 02:43:25,870 Epoch 1 | Batch 420/600 | loss 3.162441 | avg_loss 3.235135
2022-04-18 02:43:27,438 Epoch 1 | Batch 430/600 | loss 3.210302 | avg_loss 3.231452
2022-04-18 02:43:27,747 Epoch 1 | Batch 440/600 | loss 2.916079 | avg_loss 3.231276
2022-04-18 02:43:29,660 Epoch 1 | Batch 450/600 | loss 3.042247 | avg_loss 3.227595
2022-04-18 02:43:30,861 Epoch 1 | Batch 460/600 | loss 3.390101 | avg_loss 3.223391
2022-04-18 02:43:32,781 Epoch 1 | Batch 470/600 | loss 3.295073 | avg_loss 3.219578
2022-04-18 02:43:33,136 Epoch 1 | Batch 480/600 | loss 3.024651 | avg_loss 3.216765
2022-04-18 02:43:34,265 Epoch 1 | Batch 490/600 | loss 2.707036 | avg_loss 3.215042
2022-04-18 02:43:35,558 Epoch 1 | Batch 500/600 | loss 2.919311 | avg_loss 3.211262
2022-04-18 02:43:36,651 Epoch 1 | Batch 510/600 | loss 2.995794 | avg_loss 3.209798
2022-04-18 02:43:38,260 Epoch 1 | Batch 520/600 | loss 3.222366 | avg_loss 3.209281
2022-04-18 02:43:39,047 Epoch 1 | Batch 530/600 | loss 3.240538 | avg_loss 3.206708
2022-04-18 02:43:40,154 Epoch 1 | Batch 540/600 | loss 3.143782 | avg_loss 3.206224
2022-04-18 02:43:41,655 Epoch 1 | Batch 550/600 | loss 3.146207 | avg_loss 3.205145
2022-04-18 02:43:43,367 Epoch 1 | Batch 560/600 | loss 2.962012 | avg_loss 3.202376
2022-04-18 02:43:44,975 Epoch 1 | Batch 570/600 | loss 3.031764 | avg_loss 3.200749
2022-04-18 02:43:45,249 Epoch 1 | Batch 580/600 | loss 2.974820 | avg_loss 3.198480
2022-04-18 02:43:45,868 Epoch 1 | Batch 590/600 | loss 2.865924 | avg_loss 3.195042
2022-04-18 02:43:50,058 Epoch 2 | Batch 0/600 | loss 3.308241 | avg_loss 3.308241
2022-04-18 02:43:50,564 Epoch 2 | Batch 10/600 | loss 3.302838 | avg_loss 3.034676
2022-04-18 02:43:51,761 Epoch 2 | Batch 20/600 | loss 2.798338 | avg_loss 3.065518
2022-04-18 02:43:53,250 Epoch 2 | Batch 30/600 | loss 2.891664 | avg_loss 3.036565
2022-04-18 02:43:54,361 Epoch 2 | Batch 40/600 | loss 2.982197 | avg_loss 3.051594
2022-04-18 02:43:56,036 Epoch 2 | Batch 50/600 | loss 3.019449 | avg_loss 3.055148
2022-04-18 02:43:58,063 Epoch 2 | Batch 60/600 | loss 3.076884 | avg_loss 3.057240
2022-04-18 02:43:59,037 Epoch 2 | Batch 70/600 | loss 3.283017 | avg_loss 3.045141
2022-04-18 02:44:00,045 Epoch 2 | Batch 80/600 | loss 3.141268 | avg_loss 3.052528
2022-04-18 02:44:01,470 Epoch 2 | Batch 90/600 | loss 3.025839 | avg_loss 3.052825
2022-04-18 02:44:03,147 Epoch 2 | Batch 100/600 | loss 3.133732 | avg_loss 3.057507
2022-04-18 02:44:04,336 Epoch 2 | Batch 110/600 | loss 2.743484 | avg_loss 3.057746
2022-04-18 02:44:05,873 Epoch 2 | Batch 120/600 | loss 3.056447 | avg_loss 3.051846
2022-04-18 02:44:06,236 Epoch 2 | Batch 130/600 | loss 3.278004 | avg_loss 3.054274
2022-04-18 02:44:07,648 Epoch 2 | Batch 140/600 | loss 3.137873 | avg_loss 3.044931
2022-04-18 02:44:09,344 Epoch 2 | Batch 150/600 | loss 2.797642 | avg_loss 3.048000
2022-04-18 02:44:10,966 Epoch 2 | Batch 160/600 | loss 2.686192 | avg_loss 3.050080
2022-04-18 02:44:12,459 Epoch 2 | Batch 170/600 | loss 3.061956 | avg_loss 3.046578
2022-04-18 02:44:13,849 Epoch 2 | Batch 180/600 | loss 2.740792 | avg_loss 3.044443
2022-04-18 02:44:14,164 Epoch 2 | Batch 190/600 | loss 3.203675 | avg_loss 3.043151
2022-04-18 02:44:15,362 Epoch 2 | Batch 200/600 | loss 2.942959 | avg_loss 3.039087
2022-04-18 02:44:16,649 Epoch 2 | Batch 210/600 | loss 3.199244 | avg_loss 3.036097
2022-04-18 02:44:18,037 Epoch 2 | Batch 220/600 | loss 3.089977 | avg_loss 3.036297
2022-04-18 02:44:19,546 Epoch 2 | Batch 230/600 | loss 2.762226 | avg_loss 3.031575
2022-04-18 02:44:21,159 Epoch 2 | Batch 240/600 | loss 3.158885 | avg_loss 3.030019
2022-04-18 02:44:22,165 Epoch 2 | Batch 250/600 | loss 3.016108 | avg_loss 3.029966
2022-04-18 02:44:23,747 Epoch 2 | Batch 260/600 | loss 2.952188 | avg_loss 3.029456
2022-04-18 02:44:25,359 Epoch 2 | Batch 270/600 | loss 2.850416 | avg_loss 3.029208
2022-04-18 02:44:26,338 Epoch 2 | Batch 280/600 | loss 2.659941 | avg_loss 3.027282
2022-04-18 02:44:27,438 Epoch 2 | Batch 290/600 | loss 2.719375 | avg_loss 3.027663
2022-04-18 02:44:28,147 Epoch 2 | Batch 300/600 | loss 3.132173 | avg_loss 3.025869
2022-04-18 02:44:29,236 Epoch 2 | Batch 310/600 | loss 2.862454 | avg_loss 3.022999
2022-04-18 02:44:30,536 Epoch 2 | Batch 320/600 | loss 3.011249 | avg_loss 3.020798
2022-04-18 02:44:32,164 Epoch 2 | Batch 330/600 | loss 2.796899 | avg_loss 3.018604
2022-04-18 02:44:32,960 Epoch 2 | Batch 340/600 | loss 3.105854 | avg_loss 3.019189
2022-04-18 02:44:34,650 Epoch 2 | Batch 350/600 | loss 2.639358 | avg_loss 3.016779
