2022-04-19 02:01:39,190 Epoch 0 | Batch 0/300 | loss 5.310884 | avg_loss 5.310884
2022-04-19 02:01:40,108 Epoch 0 | Batch 10/300 | loss 4.788156 | avg_loss 5.033427
2022-04-19 02:01:43,020 Epoch 0 | Batch 20/300 | loss 4.491733 | avg_loss 4.829319
2022-04-19 02:01:45,706 Epoch 0 | Batch 30/300 | loss 4.323880 | avg_loss 4.688845
2022-04-19 02:01:47,987 Epoch 0 | Batch 40/300 | loss 4.274414 | avg_loss 4.593035
2022-04-19 02:01:49,987 Epoch 0 | Batch 50/300 | loss 4.226764 | avg_loss 4.522942
2022-04-19 02:01:52,510 Epoch 0 | Batch 60/300 | loss 4.163593 | avg_loss 4.467354
2022-04-19 02:01:55,687 Epoch 0 | Batch 70/300 | loss 4.112728 | avg_loss 4.420946
2022-04-19 02:01:58,496 Epoch 0 | Batch 80/300 | loss 3.997160 | avg_loss 4.379070
2022-04-19 02:02:01,308 Epoch 0 | Batch 90/300 | loss 3.982466 | avg_loss 4.341586
2022-04-19 02:02:01,789 Epoch 0 | Batch 100/300 | loss 3.974372 | avg_loss 4.307624
2022-04-19 02:02:03,987 Epoch 0 | Batch 110/300 | loss 3.891736 | avg_loss 4.275634
2022-04-19 02:02:06,102 Epoch 0 | Batch 120/300 | loss 3.861619 | avg_loss 4.243886
2022-04-19 02:02:08,499 Epoch 0 | Batch 130/300 | loss 3.904561 | avg_loss 4.214760
2022-04-19 02:02:11,087 Epoch 0 | Batch 140/300 | loss 3.713550 | avg_loss 4.187411
2022-04-19 02:02:13,487 Epoch 0 | Batch 150/300 | loss 3.731461 | avg_loss 4.161792
2022-04-19 02:02:14,802 Epoch 0 | Batch 160/300 | loss 3.712765 | avg_loss 4.137118
2022-04-19 02:02:17,610 Epoch 0 | Batch 170/300 | loss 3.662077 | avg_loss 4.114655
2022-04-19 02:02:20,004 Epoch 0 | Batch 180/300 | loss 3.807287 | avg_loss 4.092838
2022-04-19 02:02:22,887 Epoch 0 | Batch 190/300 | loss 3.568955 | avg_loss 4.072169
2022-04-19 02:02:25,711 Epoch 0 | Batch 200/300 | loss 3.569467 | avg_loss 4.052863
2022-04-19 02:02:28,387 Epoch 0 | Batch 210/300 | loss 3.812072 | avg_loss 4.035394
2022-04-19 02:02:28,908 Epoch 0 | Batch 220/300 | loss 3.570472 | avg_loss 4.015765
2022-04-19 02:02:31,308 Epoch 0 | Batch 230/300 | loss 3.646595 | avg_loss 3.998847
2022-04-19 02:02:34,009 Epoch 0 | Batch 240/300 | loss 3.631211 | avg_loss 3.981931
2022-04-19 02:02:36,509 Epoch 0 | Batch 250/300 | loss 3.577503 | avg_loss 3.964377
2022-04-19 02:02:39,087 Epoch 0 | Batch 260/300 | loss 3.493571 | avg_loss 3.949089
2022-04-19 02:02:41,187 Epoch 0 | Batch 270/300 | loss 3.589750 | avg_loss 3.933286
2022-04-19 02:02:42,787 Epoch 0 | Batch 280/300 | loss 3.432305 | avg_loss 3.918609
2022-04-19 02:02:44,310 Epoch 0 | Batch 290/300 | loss 3.615870 | avg_loss 3.906257
2022-04-19 02:02:49,093 Epoch 1 | Batch 0/300 | loss 3.648252 | avg_loss 3.648252
2022-04-19 02:02:50,612 Epoch 1 | Batch 10/300 | loss 3.305202 | avg_loss 3.459881
2022-04-19 02:02:53,087 Epoch 1 | Batch 20/300 | loss 3.439701 | avg_loss 3.471967
2022-04-19 02:02:56,687 Epoch 1 | Batch 30/300 | loss 3.387497 | avg_loss 3.453833
2022-04-19 02:02:58,289 Epoch 1 | Batch 40/300 | loss 3.543891 | avg_loss 3.448538
2022-04-19 02:03:00,416 Epoch 1 | Batch 50/300 | loss 3.475787 | avg_loss 3.436829
2022-04-19 02:03:02,410 Epoch 1 | Batch 60/300 | loss 3.360209 | avg_loss 3.434200
2022-04-19 02:03:06,205 Epoch 1 | Batch 70/300 | loss 3.384700 | avg_loss 3.424037
2022-04-19 02:03:08,987 Epoch 1 | Batch 80/300 | loss 3.384957 | avg_loss 3.424550
2022-04-19 02:03:11,109 Epoch 1 | Batch 90/300 | loss 3.241406 | avg_loss 3.414077
2022-04-19 02:03:11,809 Epoch 1 | Batch 100/300 | loss 3.240756 | avg_loss 3.406088
2022-04-19 02:03:13,887 Epoch 1 | Batch 110/300 | loss 3.387292 | avg_loss 3.403336
2022-04-19 02:03:16,205 Epoch 1 | Batch 120/300 | loss 3.241848 | avg_loss 3.398812
2022-04-19 02:03:18,787 Epoch 1 | Batch 130/300 | loss 3.249852 | avg_loss 3.392740
2022-04-19 02:03:21,213 Epoch 1 | Batch 140/300 | loss 3.348884 | avg_loss 3.386386
2022-04-19 02:03:23,801 Epoch 1 | Batch 150/300 | loss 3.373708 | avg_loss 3.381030
2022-04-19 02:03:26,301 Epoch 1 | Batch 160/300 | loss 3.181556 | avg_loss 3.372178
2022-04-19 02:03:28,503 Epoch 1 | Batch 170/300 | loss 3.334230 | avg_loss 3.366648
2022-04-19 02:03:29,311 Epoch 1 | Batch 180/300 | loss 3.199777 | avg_loss 3.362541
2022-04-19 02:03:34,747 Epoch 1 | Batch 190/300 | loss 3.239770 | avg_loss 3.356899
2022-04-19 02:03:36,722 Epoch 1 | Batch 200/300 | loss 3.103678 | avg_loss 3.352969
2022-04-19 02:03:38,607 Epoch 1 | Batch 210/300 | loss 3.145545 | avg_loss 3.346133
2022-04-19 02:03:41,000 Epoch 1 | Batch 220/300 | loss 3.224811 | avg_loss 3.341415
2022-04-19 02:03:42,208 Epoch 1 | Batch 230/300 | loss 3.211753 | avg_loss 3.333137
2022-04-19 02:03:45,104 Epoch 1 | Batch 240/300 | loss 3.302209 | avg_loss 3.327114
2022-04-19 02:03:47,589 Epoch 1 | Batch 250/300 | loss 3.195920 | avg_loss 3.321184
2022-04-19 02:03:49,805 Epoch 1 | Batch 260/300 | loss 3.231162 | avg_loss 3.316297
2022-04-19 02:03:50,901 Epoch 1 | Batch 270/300 | loss 3.136809 | avg_loss 3.311560
2022-04-19 02:03:53,287 Epoch 1 | Batch 280/300 | loss 3.203963 | avg_loss 3.306347
2022-04-19 02:03:55,549 Epoch 1 | Batch 290/300 | loss 3.267354 | avg_loss 3.303293
2022-04-19 02:03:59,716 Epoch 2 | Batch 0/300 | loss 3.333857 | avg_loss 3.333857
2022-04-19 02:04:02,008 Epoch 2 | Batch 10/300 | loss 3.007865 | avg_loss 3.175166
2022-04-19 02:04:04,713 Epoch 2 | Batch 20/300 | loss 3.134409 | avg_loss 3.161643
2022-04-19 02:04:10,215 Epoch 2 | Batch 30/300 | loss 3.058340 | avg_loss 3.147406
2022-04-19 02:04:10,608 Epoch 2 | Batch 40/300 | loss 3.207776 | avg_loss 3.145896
2022-04-19 02:04:13,500 Epoch 2 | Batch 50/300 | loss 3.138387 | avg_loss 3.139911
2022-04-19 02:04:15,601 Epoch 2 | Batch 60/300 | loss 3.065913 | avg_loss 3.131478
2022-04-19 02:04:17,803 Epoch 2 | Batch 70/300 | loss 3.195947 | avg_loss 3.126462
2022-04-19 02:04:20,087 Epoch 2 | Batch 80/300 | loss 2.667104 | avg_loss 3.122527
2022-04-19 02:04:23,118 Epoch 2 | Batch 90/300 | loss 2.918036 | avg_loss 3.119646
2022-04-19 02:04:25,310 Epoch 2 | Batch 100/300 | loss 3.051273 | avg_loss 3.117275
2022-04-19 02:04:28,829 Epoch 2 | Batch 110/300 | loss 3.009525 | avg_loss 3.113746
2022-04-19 02:04:30,402 Epoch 2 | Batch 120/300 | loss 3.215920 | avg_loss 3.110342
2022-04-19 02:04:32,900 Epoch 2 | Batch 130/300 | loss 3.195152 | avg_loss 3.107406
2022-04-19 02:04:35,303 Epoch 2 | Batch 140/300 | loss 2.976297 | avg_loss 3.101892
2022-04-19 02:04:37,709 Epoch 2 | Batch 150/300 | loss 3.113130 | avg_loss 3.100174
2022-04-19 02:04:38,413 Epoch 2 | Batch 160/300 | loss 2.983677 | avg_loss 3.096505
2022-04-19 02:04:41,212 Epoch 2 | Batch 170/300 | loss 3.246860 | avg_loss 3.094439
2022-04-19 02:04:43,487 Epoch 2 | Batch 180/300 | loss 3.038787 | avg_loss 3.092590
2022-04-19 02:04:46,087 Epoch 2 | Batch 190/300 | loss 2.912422 | avg_loss 3.087461
2022-04-19 02:04:48,213 Epoch 2 | Batch 200/300 | loss 3.026950 | avg_loss 3.086857
2022-04-19 02:04:49,800 Epoch 2 | Batch 210/300 | loss 3.086956 | avg_loss 3.085607
2022-04-19 02:04:51,714 Epoch 2 | Batch 220/300 | loss 2.896937 | avg_loss 3.081985
2022-04-19 02:04:54,004 Epoch 2 | Batch 230/300 | loss 2.908802 | avg_loss 3.079567
2022-04-19 02:04:56,111 Epoch 2 | Batch 240/300 | loss 2.777874 | avg_loss 3.075888
2022-04-19 02:04:59,005 Epoch 2 | Batch 250/300 | loss 3.067860 | avg_loss 3.073617
2022-04-19 02:05:01,212 Epoch 2 | Batch 260/300 | loss 3.014913 | avg_loss 3.072824
2022-04-19 02:05:04,005 Epoch 2 | Batch 270/300 | loss 3.030763 | avg_loss 3.070146
2022-04-19 02:05:07,258 Epoch 2 | Batch 280/300 | loss 2.905466 | avg_loss 3.067123
2022-04-19 02:05:07,493 Epoch 2 | Batch 290/300 | loss 2.916943 | avg_loss 3.065747
2022-04-19 02:05:12,488 Epoch 3 | Batch 0/300 | loss 3.158569 | avg_loss 3.158569
2022-04-19 02:05:15,587 Epoch 3 | Batch 10/300 | loss 3.004021 | avg_loss 2.991628
2022-04-19 02:05:18,287 Epoch 3 | Batch 20/300 | loss 3.041787 | avg_loss 2.989724
2022-04-19 02:05:20,600 Epoch 3 | Batch 30/300 | loss 2.788704 | avg_loss 2.968316
2022-04-19 02:05:22,587 Epoch 3 | Batch 40/300 | loss 2.738657 | avg_loss 2.959705
2022-04-19 02:05:24,687 Epoch 3 | Batch 50/300 | loss 2.705589 | avg_loss 2.949584
2022-04-19 02:05:25,300 Epoch 3 | Batch 60/300 | loss 3.165580 | avg_loss 2.955153
2022-04-19 02:05:27,687 Epoch 3 | Batch 70/300 | loss 2.955322 | avg_loss 2.962096
2022-04-19 02:05:31,088 Epoch 3 | Batch 80/300 | loss 3.277678 | avg_loss 2.961802
2022-04-19 02:05:34,432 Epoch 3 | Batch 90/300 | loss 2.894439 | avg_loss 2.956304
2022-04-19 02:05:37,429 Epoch 3 | Batch 100/300 | loss 2.765935 | avg_loss 2.952431
2022-04-19 02:05:40,087 Epoch 3 | Batch 110/300 | loss 3.039597 | avg_loss 2.949590
2022-04-19 02:05:40,700 Epoch 3 | Batch 120/300 | loss 2.929525 | avg_loss 2.949271
2022-04-19 02:05:43,401 Epoch 3 | Batch 130/300 | loss 2.935225 | avg_loss 2.944752
2022-04-19 02:05:45,387 Epoch 3 | Batch 140/300 | loss 2.869232 | avg_loss 2.944065
2022-04-19 02:05:48,723 Epoch 3 | Batch 150/300 | loss 2.909624 | avg_loss 2.941258
2022-04-19 02:05:51,723 Epoch 3 | Batch 160/300 | loss 2.765758 | avg_loss 2.936337
2022-04-19 02:05:55,170 Epoch 3 | Batch 170/300 | loss 2.924230 | avg_loss 2.936326
2022-04-19 02:05:55,587 Epoch 3 | Batch 180/300 | loss 2.668470 | avg_loss 2.932941
2022-04-19 02:05:57,699 Epoch 3 | Batch 190/300 | loss 2.902523 | avg_loss 2.932854
2022-04-19 02:05:59,887 Epoch 3 | Batch 200/300 | loss 2.744276 | avg_loss 2.929996
2022-04-19 02:06:01,913 Epoch 3 | Batch 210/300 | loss 2.814290 | avg_loss 2.925776
2022-04-19 02:06:04,987 Epoch 3 | Batch 220/300 | loss 2.912774 | avg_loss 2.923122
2022-04-19 02:06:07,700 Epoch 3 | Batch 230/300 | loss 2.846505 | avg_loss 2.923202
2022-04-19 02:06:08,487 Epoch 3 | Batch 240/300 | loss 2.926271 | avg_loss 2.923703
